2,admin,admin,Mai Cong Phuoc,0987654321,maiphuoc244@gmail.com,hue,ADMIN,2022-05-08T12:37:29.997379200Z,null,
4,tqtteam,TienTran01230123,Tran Quang Khai,0855686609,tientran@gmail.com,Quang Binh,USER,2022-05-08T12:37:29.997379200Z,null,
18,cutran,0987654321,Tran Cu,0987654334,df@efdsfsdf,HUE,ADMIN,2022-05-08T12:37:29.997379200Z,2022-05-08T12:49:45.939569500Z,
129,minhtri,9876543210,Minh,0987654337,cu.t@codegym.vn,28 Nguyen Tri Phuong,USER,2022-05-11T01:45:37.838688100Z,null,
1655354196,Phong,phongtrantrui,Tran Hong Phong,0987654321,phong@gnail.com,Hue,USER,2022-06-16T04:36:36.072Z,null,
1655369235,Phuoc,Phuoc123,Uu Mai,0956897636,maiphuc@gmai.com,Sai Gon,ADMIN,2022-06-16T08:47:15.276Z,2022-06-17T01:17:11.172Z,
1655966956,quang,quang1,Quang Dang,0987654329,maiphuoc@gmail.com,Hue,USER,2022-06-23T06:49:16.924Z,2022-06-23T06:52:01.368Z,


IDUSER|username|password|hoten|sdt|email|diachi|role|ngaytao|ngaysua
